Easting,Northing
488421,4870290
488387,4870315
488350,4870343
488322,4870364
488303,4870380
488285,4870393
488271,4870400
488250,4870409
488226,4870418
488202,4870427
488167,4870441
488131,4870453
488096,4870466
488044,4870486
487971,4870514
487923,4870534
487855,4870562
487806,4870582
487781,4870594
487765,4870601
487752,4870612
487743,4870624
487736,4870638
487731,4870652
487731,4870716
487732,4870801
487732,4870851
487732,4870906
487732,4870953
487733,4871007
487733,4871076
487732,4871130
487732,4871163
487732,4871201
487732,4871238
487732,4871253
487732,4871277
487733,4871307
487733,4871354
487733,4871366
487734,4871380
487735,4871390
487733,4871404
487731,4871413
487728,4871421
487718,4871436
487718,4871436
487681,4871420
487656,4871409
487644,4871403
487631,4871396
487621,4871388
487611,4871381
487601,4871370
487590,4871359
487580,4871347
487570,4871334
487504,4871250
487483,4871222
487456,4871188
487429,4871154
487407,4871125
487348,4871049
487337,4871036
487326,4871023
487318,4871015
487306,4871005
487293,4870994
487277,4870982
487259,4870969
487233,4870949
487213,4870933
487200,4870921
487191,4870910
487184,4870896
487179,4870881
487176,4870865
487175,4870852
487176,4870847
487177,4870831
487177,4870810
487177,4870790
487176,4870777
487174,4870762
487168,4870751
487162,4870741
487152,4870734
487144,4870729
487137,4870726
487129,4870724
487123,4870724
487108,4870725
487096,4870727
487083,4870729
487062,4870734
487048,4870737
487034,4870738
487018,4870739
487002,4870741
486985,4870741
486961,4870741
486936,4870741
486920,4870742
486840,4870742
486811,4870741
486687,4870733
486639,4870735
486508,4870743
486427,4870744
486354,4870744
486146,4870746
486015,4870747
485978,4870747
485957,4870747
485937,4870744
485909,4870737
485874,4870728
485848,4870724
485836,4870724
485825,4870725
485813,4870726
485799,4870729
485785,4870732
485765,4870737
485765,4870737
485776,4870763
485785,4870780
485792,4870792
485800,4870803
485801,4870805
485833,4870848
485869,4870895
485892,4870925
485913,4870953
485928,4870973
485940,4870989
485954,4871009
485967,4871028
485977,4871047
485986,4871064
485995,4871082
485998,4871090
486001,4871096
486003,4871102
486012,4871132
486023,4871181
486031,4871219
486039,4871256
486053,4871336
486067,4871415
486076,4871465
486085,4871502
486097,4871541
486112,4871576
486128,4871610
486273,4871900
486302,4871960
486320,4871998
486335,4872029
486348,4872057
486357,4872080
486366,4872102
486372,4872117
486377,4872136
486381,4872150
486385,4872166
486389,4872192
486394,4872214
486397,4872234
486400,4872253
486403,4872270
486408,4872294
486413,4872328
486419,4872370
486424,4872399
486427,4872428
486430,4872455
486431,4872477
486433,4872495
486433,4872525
486433,4872550
486431,4872573
486429,4872621
486426,4872646
486425,4872668
486424,4872691
486423,4872719
486422,4872748
486420,4872806
486417,4872852
486414,4872906
486413,4872936
486413,4872960
486411,4872985
486410,4873005
486410,4873019
486410,4873091
486410,4873120
486411,4873137
486411,4873175
486411,4873212
486410,4873245
486410,4873281
486410,4873304
486410,4873332
486409,4873354
486407,4873385
486405,4873421
486402,4873457
486399,4873498
486398,4873513
486396,4873535
486394,4873562
486394,4873588
486394,4873614
486395,4873644
486396,4873667
486398,4873696
486401,4873718
486405,4873746
486410,4873777
486417,4873835
486430,4873928
486434,4873956
486459,4874164
486464,4874194
486467,4874219
486470,4874244
486472,4874268
486475,4874285
486477,4874302
486483,4874323
486488,4874343
486489,4874343
486497,4874363
486508,4874389
486524,4874426
486536,4874456
486536,4874458
486542,4874474
486545,4874488
486549,4874502
486553,4874522
486575,4874668
486581,4874704
486594,4874781
486598,4874818
486603,4874838
486607,4874854
486614,4874877
486614,4874879
486620,4874900
486631,4874925
486640,4874943
486647,4874955
486657,4874973
486665,4874986
486762,4875133
486778,4875159
486789,4875180
486800,4875203
486809,4875224
486816,4875242
486816,4875242
486843,4875245
486853,4875248
486859,4875252
486865,4875258
486944,4875348
487045,4875462
487057,4875476
487129,4875556
487135,4875563
487142,4875567
487147,4875572
487152,4875575
487158,4875577
487172,4875583
487249,4875613
487339,4875648
487452,4875691
487523,4875719
487554,4875730
487630,4875755
487677,4875773
487689,4875777
487709,4875787
487729,4875803
487741,4875812
487755,4875826
487765,4875836
487772,4875846
487782,4875859
487794,4875875
487794,4875875
487821,4875850
487831,4875834
487834,4875823
487836,4875814
487837,4875796
487838,4875691
487839,4875625
487839,4875519
487839,4875482
487839,4875449
487840,4875436
487846,4875405
487852,4875385
487874,4875333
487874,4875333
487882,4875310
487887,4875295
487938,4875201
487970,4875141
487980,4875129
488019,4875096
488043,4875085
488061,4875077
488085,4875067
488097,4875052
488102,4875037
488114,4875000
488119,4874995
488125,4874990
488129,4874986
488136,4874983
488149,4874978
488160,4874971
488173,4874962
488182,4874954
488191,4874946
488199,4874938
488209,4874921
488225,4874910
488237,4874898
488251,4874883
488259,4874874
488288,4874814
488291,4874803
488295,4874790
488302,4874771
488312,4874747
488312,4874744
488320,4874730
488328,4874714
488331,4874703
488334,4874692
488340,4874685
488344,4874678
488352,4874670
488358,4874663
488367,4874656
488376,4874643
488385,4874628
488392,4874612
488396,4874602
488400,4874595
488405,4874589
488413,4874582
488423,4874573
488428,4874569
488431,4874567
488435,4874566
488448,4874563
488452,4874563
488464,4874561
488469,4874560
488480,4874556
488492,4874553
488504,4874547
488513,4874542
488520,4874534
488524,4874526
488527,4874517
488528,4874510
488528,4874500
488528,4874500
488553,4874500
488589,4874499
488610,4874499
488635,4874499
488653,4874497
488670,4874492
488686,4874485
488701,4874477
488766,4874445
488774,4874440
488783,4874437
488791,4874435
488800,4874432
488810,4874430
488822,4874428
488834,4874428
488844,4874428
488852,4874427
488860,4874425
488869,4874422
488877,4874419
488883,4874416
488889,4874410
488895,4874405
488899,4874397
488901,4874389
488904,4874382
488905,4874373
488906,4874365
488906,4874351
488906,4874339
488906,4874338
488906,4874319
488906,4874302
488906,4874278
488905,4874248
488905,4874233
488905,4874233
488985,4874234
488985,4874234
488986,4874123
488986,4874123
489070,4874125
489164,4874124
489205,4874125
489242,4874124
489254,4874124
489261,4874124
489271,4874127
489279,4874133
489286,4874141
489296,4874154
489315,4874177
489329,4874193
489335,4874203
489344,4874218
489359,4874250
489368,4874266
489376,4874277
489384,4874288
489392,4874296
489401,4874303
489410,4874309
489421,4874315
489434,4874320
489447,4874324
489467,4874330
489476,4874334
489516,4874347
489547,4874358
489575,4874368
489576,4874369
489598,4874377
489619,4874383
489632,4874386
489648,4874387
489667,4874387
489694,4874385
489714,4874384
489725,4874384
489738,4874384
489753,4874384
489766,4874382
489779,4874378
489790,4874373
489798,4874366
489805,4874356
489809,4874349
489811,4874339
489814,4874330
489814,4874330
490009,4874394
